id,source,tcode,tlog,tgroup,longname,status,coverage_note
nab_conf,NAB Business Survey (monthly Table 1 + quarterly Data Appendix PDFs),t1,FALSE,S,NAB Business Confidence,OK,"39 obs 2023-02..2026-04, no gaps. Net balance. Quarterly appendix primary; clean 2025+ monthly tables fill latest months."
nab_cond,NAB Business Survey (monthly Table 1 + quarterly Data Appendix PDFs),t1,FALSE,S,NAB Business Conditions,OK,"39 obs 2023-02..2026-04, no gaps. Net balance."
nab_trade,NAB Business Survey (monthly Table 1 + quarterly Data Appendix PDFs),t1,FALSE,S,NAB Trading Conditions,OK,"39 obs 2023-02..2026-04, no gaps. Net balance (Trading sub-index)."
nab_profit,NAB Business Survey (monthly Table 1 + quarterly Data Appendix PDFs),t1,FALSE,S,NAB Profitability,OK,"39 obs 2023-02..2026-04, no gaps. Net balance."
nab_emp,NAB Business Survey (monthly Table 1 + quarterly Data Appendix PDFs),t1,FALSE,S,NAB Employment,OK,"39 obs 2023-02..2026-04, no gaps. Net balance (NAB employment sub-index)."
nab_forward,NAB Business Survey (monthly Table 1 + quarterly Data Appendix PDFs),t1,FALSE,S,NAB Forward Orders,OK,"39 obs 2023-02..2026-04, no gaps. Net balance (appendix 'Orders' row)."
nab_stocks,NAB Business Survey (monthly Table 1 + quarterly Data Appendix PDFs),t1,FALSE,S,NAB Stocks,PARTIAL,"36 obs 2023-02..2026-04, 3 gaps (2023-07, 2025-08, 2025-09) where only letter-spaced/bullet PDFs covered the month (stocks not in bullets). Net balance."
nab_cu,NAB Business Survey (monthly Table 1 + quarterly Data Appendix PDFs),t1,FALSE,S,NAB Capacity Utilisation,PARTIAL,"38 obs 2023-02..2026-04, 1 gap (2023-07, letter-spaced PDF). Per cent."
anz_ads,ANZ-Indeed Australian Job Ads media-release PDF (page-2 data table),t2,TRUE,S,ANZ-Indeed Job Ads (SA index 2019=100),OK,"63 obs 2021-01..2026-03, no gaps. Seasonally adjusted index level from PDF table. Live discovery of newer PDF failed (ANZ landing page JS-rendered); fixture current to Mar-2026. tcode/tlog from paper anz_ads."
anz_sent,ANZ-Roy Morgan Consumer Confidence monthly-ratings table (roymorgan.com HTML),t1,FALSE,S,ANZ-Roy Morgan Consumer Confidence,OK,"576 obs 1973-03..2026-05, no gaps post-2000 (63 gaps are 1981-86 irregular-survey era). Footnote markers (** # *) stripped. May-2026 (66.5) is an incomplete-month average (** flag)."
ivi,Jobs & Skills Australia Internet Vacancy Index (XLSX, jobsandskills.gov.au),t2,TRUE,S,Internet Vacancy Index (total SA vacancies),BLOCKED,"NO DATA. JSA host unreachable from runner (curl: connection reset / 90s timeout on both the IVI page and the templated XLSX URL). No fixture obtainable. tcode/tlog copied from paper doe_ads (IVI is the modern free substitute for the discontinued DEWR/doe_ads Job Ads vacancy series)."
